"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","StringStartsWith","","Wed Feb 18 10:39:04 UTC 2026","passed","Wed Feb 18 10:39:04 UTC 2026","","Quick Tests","QuickTests","StringStartsWith"
"Verify stored auth state allows direct access to inventory
","545","StoredStateAllowsDirectAccess","","Wed Feb 18 10:39:04 UTC 2026","passed","Wed Feb 18 10:39:05 UTC 2026","","State Storage Tests","StateStorageTests","StoredStateAllowsDirectAccess"
"","0","MultiplicationIsCorrect","","Wed Feb 18 10:39:04 UTC 2026","passed","Wed Feb 18 10:39:04 UTC 2026","","Quick Tests","QuickTests","MultiplicationIsCorrect"
"","0","IntegerIsValueType","","Wed Feb 18 10:39:04 UTC 2026","passed","Wed Feb 18 10:39:04 UTC 2026","","Quick Tests","QuickTests","IntegerIsValueType"
"","5","AndOperatorWorks","","Wed Feb 18 10:39:03 UTC 2026","passed","Wed Feb 18 10:39:03 UTC 2026","","Mixed Results Tests","MixedResultsTests","AndOperatorWorks"
"","9","EmptyCollectionIsNotEmpty","","Wed Feb 18 10:39:04 UTC 2026","failed","Wed Feb 18 10:39:04 UTC 2026","","Failing Tests","FailingTests","EmptyCollectionIsNotEmpty"
"","1","StringLengthIsWrong","","Wed Feb 18 10:39:04 UTC 2026","failed","Wed Feb 18 10:39:04 UTC 2026","","Mixed Results Tests","MixedResultsTests","StringLengthIsWrong"
"","2","ListRemoveWorks","","Wed Feb 18 10:39:04 UTC 2026","passed","Wed Feb 18 10:39:04 UTC 2026","","Mixed Results Tests","MixedResultsTests","ListRemoveWorks"
"","2","EmptyListIsEmpty","","Wed Feb 18 10:39:04 UTC 2026","passed","Wed Feb 18 10:39:04 UTC 2026","","Quick Tests","QuickTests","EmptyListIsEmpty"
"","0","NotFalseIsTrue","","Wed Feb 18 10:39:04 UTC 2026","passed","Wed Feb 18 10:39:04 UTC 2026","","Quick Tests","QuickTests","NotFalseIsTrue"
"","0","TrueIsTrue","","Wed Feb 18 10:39:04 UTC 2026","passed","Wed Feb 18 10:39:04 UTC 2026","","Quick Tests","QuickTests","TrueIsTrue"
"","1","FalseIsNotTrue","","Wed Feb 18 10:39:04 UTC 2026","failed","Wed Feb 18 10:39:04 UTC 2026","","Failing Tests","FailingTests","FalseIsNotTrue"
"","1","OrOperatorCheckFails","","Wed Feb 18 10:39:04 UTC 2026","failed","Wed Feb 18 10:39:04 UTC 2026","","Mixed Results Tests","MixedResultsTests","OrOperatorCheckFails"
"","6","StartsWithFails","","Wed Feb 18 10:39:04 UTC 2026","failed","Wed Feb 18 10:39:04 UTC 2026","","Failing Tests","FailingTests","StartsWithFails"
"","1","DivideByZeroThrowsException","","Wed Feb 18 10:39:04 UTC 2026","passed","Wed Feb 18 10:39:04 UTC 2026","","Mixed Results Tests","MixedResultsTests","DivideByZeroThrowsException"
"","0","ValueIsInRange","","Wed Feb 18 10:39:04 UTC 2026","passed","Wed Feb 18 10:39:04 UTC 2026","","Mixed Results Tests","MixedResultsTests","ValueIsInRange"
"","11","DatesAreNotEqual","","Wed Feb 18 10:39:04 UTC 2026","failed","Wed Feb 18 10:39:04 UTC 2026","","Mixed Results Tests","MixedResultsTests","DatesAreNotEqual"
"","3","ArraysAreNotEqual","","Wed Feb 18 10:39:04 UTC 2026","failed","Wed Feb 18 10:39:04 UTC 2026","","Mixed Results Tests","MixedResultsTests","ArraysAreNotEqual"
"","1","StringEndsWithFails","","Wed Feb 18 10:39:04 UTC 2026","failed","Wed Feb 18 10:39:04 UTC 2026","","Mixed Results Tests","MixedResultsTests","StringEndsWithFails"
"","3","EmptyStringHasZeroLength","","Wed Feb 18 10:39:04 UTC 2026","passed","Wed Feb 18 10:39:04 UTC 2026","","Quick Tests","QuickTests","EmptyStringHasZeroLength"
"","1","StringEqualityFails","","Wed Feb 18 10:39:04 UTC 2026","failed","Wed Feb 18 10:39:04 UTC 2026","","Failing Tests","FailingTests","StringEqualityFails"
"Login with valid credentials succeeds
","485","LoginSuccess","","Wed Feb 18 10:39:05 UTC 2026","passed","Wed Feb 18 10:39:06 UTC 2026","","Login Test Suite","LoginTests","LoginSuccess"
"","2","ValueIsOutOfRange","","Wed Feb 18 10:39:04 UTC 2026","failed","Wed Feb 18 10:39:04 UTC 2026","","Mixed Results Tests","MixedResultsTests","ValueIsOutOfRange"
"","1","OutOfRangeFails","","Wed Feb 18 10:39:04 UTC 2026","failed","Wed Feb 18 10:39:04 UTC 2026","","Failing Tests","FailingTests","OutOfRangeFails"
"","2","WrongExceptionType","","Wed Feb 18 10:39:04 UTC 2026","failed","Wed Feb 18 10:39:04 UTC 2026","","Failing Tests","FailingTests","WrongExceptionType"
"Verify the Swag Labs page title
","577","HasTitle","","Wed Feb 18 10:39:04 UTC 2026","passed","Wed Feb 18 10:39:05 UTC 2026","","Login Test Suite","LoginTests","HasTitle"
"","0","MathAssertionFails","","Wed Feb 18 10:39:04 UTC 2026","failed","Wed Feb 18 10:39:04 UTC 2026","","Failing Tests","FailingTests","MathAssertionFails"
